reviewer_id,reviewer_skin_tone,reviewer_skin_type,reviewer_eye_color,reviewer_hair_color
5913587008,fair,dry,brown,blonde
11777122,light,combination,brown,brown
24823708851,lightMedium,dry,green,brown
8618254771,medium,combination,brown,brown
1341776789,light,normal,brown,brown
10200264368,fair,combination,hazel,brown
23008592938,lightMedium,normal,brown,auburn
1674170878,fairLight,oily,green,brown
11469395139,fair,dry,brown,brown
10628988518,light,oily,hazel,auburn
9109841845,fair,oily,brown,brown
12132586979,lightMedium,combination,green,brown
8845057044,fairLight,normal,brown,brown
2098872170,mediumTan,dry,blue,brown
21749149999,fair,dry,brown,black
6595350019,fair,oily,green,brown
2411392280,fairLight,normal,blue,blonde
5906336081,light,combination,hazel,brown
8272451069,medium,normal,brown,black
1299993820,lightMedium,combination,brown,brown
2833621318,rich,dry,brown,black
23717108216,medium,combination,brown,blonde
24947145715,light,dry,brown,brown
1389868449,fair,combination,hazel,brown
23701351352,fair,normal,green,blonde
1399957494,fair,dry,blue,blonde
1704030522,fair,combination,green,auburn
1861551576,lightMedium,combination,brown,black
1057379306,light,oily,blue,blonde
1367660317,lightMedium,combination,brown,black
11165970292,light,combination,blue,brown
2233350823,lightMedium,combination,hazel,blonde
11773351951,light,combination,blue,blonde
7029417970,lightMedium,combination,brown,brown
1588092738,lightMedium,dry,brown,brown
1637807055,light,dry,green,black
1987512677,light,combination,blue,blonde
1663891731,lightMedium,combination,blue,brown
12500139112,lightMedium,dry,brown,black
7620494526,lightMedium,normal,brown,red
1357618056,mediumTan,combination,hazel,blonde
1520416577,fair,combination,blue,blonde
11357298710,light,combination,brown,black
1489702161,fair,dry,brown,brown
21208661761,fairLight,oily,blue,blonde
1390914169,light,combination,hazel,brown
5950710432,light,normal,brown,brown
1924860900,light,dry,brown,blonde
24724007082,light,combination,brown,gray
5547076684,lightMedium,dry,blue,blonde
23013135954,light,combination,hazel,black
2687173454,light,combination,hazel,brown
2435012183,mediumTan,combination,green,brown
1326372756,fair,combination,hazel,brown
7029516268,fair,combination,green,black
1395354970,fairLight,combination,brown,brown
1640301022,lightMedium,combination,brown,black
1371231806,light,combination,brown,brown
21902949040,light,dry,green,brown
1474917024,lightMedium,combination,green,brown
1553538276,light,combination,blue,blonde
24998050674,light,combination,blue,brown
5093683710,fair,dry,green,blonde
7085042638,medium,combination,brown,black
22531852410,lightMedium,dry,brown,brown
6506746225,lightMedium,dry,blue,brown
1288462295,lightMedium,combination,blue,red
7567280188,fair,combination,blue,blonde
7334800488,lightMedium,combination,brown,brown
10459831187,lightMedium,combination,brown,black
7217744376,fair,combination,green,blonde
6339361403,lightMedium,combination,brown,black
24429248343,fairLight,combination,hazel,blonde
10431170682,light,dry,green,brown
12304162471,light,combination,brown,brown
11820152718,fair,oily,brown,black
1928070320,lightMedium,oily,hazel,brown
8503119968,light,combination,green,brown
11340521955,light,combination,blue,blonde
2435014728,light,combination,brown,brown
1589632175,medium,combination,hazel,blonde
7643722341,light,combination,hazel,brown
5395476233,light,combination,brown,brown
22969689338,lightMedium,combination,brown,black
6843401782,lightMedium,combination,brown,black
5980684017,light,combination,brown,black
6879922931,light,combination,brown,blonde
6962613166,fair,normal,hazel,brown
5174445191,medium,combination,brown,brown
23157395499,lightMedium,oily,brown,black
2608050476,light,combination,brown,brown
1933270966,light,dry,blue,blonde
5208508120,fair,oily,blue,blonde
2608051667,light,dry,brown,black
1311993958,fair,dry,brown,black
9148178384,medium,combination,blue,brown
6950478106,mediumTan,dry,brown,black
6819982432,light,normal,brown,brown
1175326342,mediumTan,combination,green,brown
6655078144,light,combination,brown,brown
10045421933,lightMedium,combination,brown,brown
13085302862,fair,oily,brown,brown
2676741263,fairLight,oily,brown,brown
6429047884,fair,combination,brown,brown
2268517176,light,combination,hazel,brown
8445346034,light,oily,hazel,brown
6335680718,fair,dry,blue,blonde
23417570449,light,combination,brown,brown
5543598302,deep,oily,brown,brown
6011942937,fairLight,combination,hazel,blonde
9408964535,light,combination,blue,blonde
2307956343,light,combination,blue,brown
9042350160,medium,combination,brown,brown
2174911022,fair,dry,hazel,red
20866765355,fairLight,combination,green,brown
8100997379,light,combination,green,red
11300087137,fair,combination,brown,red
2046134664,light,normal,hazel,brown
12395120056,light,normal,green,blonde
6085008178,light,normal,green,blonde
5325308863,fair,combination,green,red
5534877983,fair,combination,brown,brown
9915476238,fair,combination,brown,auburn
907146097,light,dry,brown,blonde
6898545850,medium,combination,brown,brown
8648432901,medium,dry,brown,brown
2654782462,light,combination,green,brown
7818068134,lightMedium,combination,brown,black
1424608357,lightMedium,combination,brown,black
2229375253,medium,normal,hazel,brown
2178592205,fairLight,combination,brown,auburn
6521364711,lightMedium,dry,green,blonde
8223126386,fairLight,combination,green,auburn
5572659162,light,dry,hazel,auburn
10605701158,light,combination,brown,blonde
5627552964,fairLight,combination,blue,blonde
21339199312,light,normal,blue,blonde
1639317030,light,dry,brown,brown
2252284,fair,combination,blue,auburn
1351866918,mediumTan,oily,green,blonde
21396342468,light,oily,green,blonde
5893093329,light,dry,hazel,black
6503889069,lightMedium,combination,green,blonde
22250340079,lightMedium,oily,brown,brown
6266030124,tan,oily,brown,black
8589310553,fairLight,combination,blue,black
2301234482,light,normal,brown,brown
6968460399,lightMedium,oily,green,brown
1650375454,light,combination,brown,brown
2310803119,fair,normal,brown,brown
5201175747,fairLight,dry,green,red
7372020316,mediumTan,combination,brown,brown
1705172490,fairLight,dry,blue,brown
1994064961,light,combination,brown,black
10251976310,light,combination,hazel,brown
2116002587,light,normal,green,brown
8379353293,lightMedium,combination,hazel,blonde
5732203131,medium,combination,brown,black
10706161898,light,combination,brown,red
7368908788,light,combination,brown,brown
21662604267,fair,combination,green,brown
6391137740,fair,combination,brown,brown
6411985589,mediumTan,combination,brown,brown
5224463956,light,oily,hazel,brown
9169952847,medium,normal,blue,blonde
2352642523,lightMedium,dry,green,blonde
6683411590,light,combination,brown,brown
11113559955,medium,normal,brown,black
12066433570,fairLight,combination,brown,red
5641577047,lightMedium,normal,brown,black
1341430914,light,combination,brown,brown
1726924575,light,combination,brown,brown
5994409081,mediumTan,combination,brown,brown
1507551101,fair,normal,green,brown
1147923587,fair,dry,brown,brown
2429337873,fair,combination,blue,auburn
6655027320,fair,normal,blue,blonde
9878277633,fair,combination,hazel,blonde
8052652214,light,combination,brown,brown
2198993508,light,combination,brown,brown
9804247239,medium,oily,brown,black
1648573389,lightMedium,combination,brown,brown
5688459683,lightMedium,combination,brown,brown
2190244069,lightMedium,combination,brown,brown
1547900425,mediumTan,normal,brown,black
25243003291,fair,combination,green,brown
1593116016,fair,combination,green,brown
6368635477,mediumTan,normal,brown,brown
1340125310,lightMedium,combination,brown,brown
11780171244,light,combination,blue,blonde
1046360214,lightMedium,normal,brown,brown
2577992255,fairLight,dry,brown,brown
9785574412,lightMedium,dry,green,red
5821381745,lightMedium,combination,brown,brown
923887872,fairLight,combination,green,blonde
1602070007,lightMedium,combination,brown,brown
11935576199,lightMedium,dry,blue,blonde
1782441281,mediumTan,dry,brown,brown
2706542753,light,combination,blue,blonde
1335651996,mediumTan,combination,brown,brown
5344094005,light,combination,blue,blonde
2528023879,lightMedium,combination,brown,blonde
1740124555,fair,dry,hazel,brown
1593521076,light,combination,hazel,brown
1338486693,mediumTan,combination,brown,black
6081174235,lightMedium,combination,brown,brown
11180183984,light,combination,blue,blonde
1485877111,light,combination,brown,brown
2318322854,light,combination,brown,brown
1896733410,light,combination,brown,brown
1374274177,light,dry,brown,brown
5941682953,light,dry,brown,brown
6519470934,light,combination,brown,brown
1074717451,light,combination,brown,brown
2749672622,light,combination,brown,brown
1571853098,light,combination,brown,brown
1319554162,light,dry,brown,brown
949264079,light,combination,brown,brown
967124371,light,combination,brown,brown
8561782288,light,combination,brown,brown
1347490634,light,combination,brown,brown
2569085016,light,dry,brown,brown
6860834704,light,combination,brown,brown
1990481674,light,combination,brown,brown
928141744,light,combination,brown,brown
1834152872,light,combination,brown,brown
1484190071,light,normal,brown,brown
1303988733,light,normal,brown,brown
1828981982,light,normal,brown,brown
1755070760,light,combination,brown,brown
2625679699,light,combination,brown,brown
1343363424,light,combination,brown,brown
2227915166,light,dry,brown,brown
2403371098,light,normal,brown,brown
2546692016,light,combination,brown,brown
7269902988,light,oily,brown,brown
909046347,light,combination,brown,brown
1353944631,light,dry,brown,brown
932383999,light,normal,brown,brown
6168678358,light,normal,brown,brown
1247766203,light,dry,brown,brown
6133153830,light,combination,brown,brown
1000719618,light,oily,brown,brown
5577510041,light,combination,brown,brown
5166841273,light,combination,brown,brown
1910230459,light,combination,brown,brown
5921173975,light,normal,brown,brown
1869074331,light,combination,brown,brown
1307220304,light,normal,brown,brown
6476973189,light,combination,brown,brown
1935882762,light,combination,brown,brown
986162753,light,normal,brown,brown
1320707709,light,combination,brown,brown
1723441248,light,combination,brown,brown
1697773075,light,combination,brown,brown
5424914925,light,combination,brown,brown
938488490,light,combination,brown,brown
6678371653,light,combination,brown,brown
1180631248,light,dry,brown,brown
1305153995,light,oily,brown,brown
1650940449,light,oily,brown,brown
5918473926,light,combination,brown,brown
5442534004,light,combination,brown,brown
1970292959,light,normal,brown,brown
1697275987,light,combination,brown,brown
1552207753,light,combination,brown,brown
1925554184,light,combination,brown,brown
1612300114,light,normal,brown,brown
1791961228,light,combination,brown,brown
6017567796,light,normal,brown,brown
1502267632,light,combination,brown,brown
5677113151,light,normal,brown,brown
2543544617,light,combination,brown,brown
1619712540,light,dry,brown,brown
1235435111,light,normal,brown,brown
1306822626,light,dry,brown,brown
1674522542,light,combination,brown,brown
1341054978,light,dry,brown,brown
986786272,light,combination,brown,brown
2080013496,light,combination,brown,brown
995774196,light,combination,brown,brown
1554040171,light,dry,brown,brown
1748810579,light,combination,brown,brown
5834102451,light,combination,brown,brown
6387620016,light,combination,brown,brown
10200158291,lightMedium,combination,brown,black
2499367968,light,dry,brown,black
1134776825,lightMedium,dry,hazel,brown
36189691784,tan,dry,brown,brown
1333289964,tan,combination,brown,brown
31747385346,mediumTan,combination,brown,brown
1035898919,lightMedium,combination,brown,brown
20279163266,medium,oily,brown,black
10788962834,medium,combination,brown,black
7591035199,fair,combination,hazel,brown
21662641801,deep,combination,brown,black
1098904398,lightMedium,combination,brown,brown
7749817868,fair,combination,blue,blonde
2251909514,lightMedium,normal,brown,black
1092349859,light,combination,green,auburn
31815080540,mediumTan,combination,brown,brown
10287411556,fair,dry,green,blonde
921571620,lightMedium,normal,hazel,blonde
7694823621,fairLight,combination,green,brown
1097597214,light,combination,blue,brown
7103159472,tan,normal,brown,black
26514201515,deep,dry,brown,black
23699404101,lightMedium,combination,brown,black
1573580766,mediumTan,dry,hazel,brown
5981004989,fair,normal,blue,brown
1085952288,fair,combination,brown,brown
11091856222,lightMedium,normal,brown,brown
1435167108,fair,dry,hazel,brown
11528324542,fair,combination,green,blonde
5683455598,light,combination,hazel,brown
25635891637,tan,combination,brown,black
5349004055,lightMedium,combination,brown,brown
21289151256,light,combination,blue,blonde
5993019720,lightMedium,combination,brown,black
1696370280,light,combination,brown,black
10468570282,tan,normal,brown,black
994905285,fair,dry,blue,blonde
7708632041,light,combination,blue,blonde
7541512898,light,combination,blue,blonde
20371671903,light,normal,brown,blonde
9113378625,tan,combination,brown,black
2173121797,lightMedium,combination,brown,blonde
20317180910,lightMedium,combination,brown,black
1830600756,lightMedium,combination,blue,blonde
5257383765,mediumTan,combination,brown,brown
1995754123,lightMedium,combination,brown,black
2510615179,fair,normal,hazel,brown
21307435073,fair,combination,blue,brown
5916593057,tan,dry,brown,brown
11624056853,tan,combination,brown,brown
7779641121,lightMedium,normal,brown,brown
2317043384,fair,normal,blue,blonde
8182364491,fairLight,combination,blue,blonde
2725023701,tan,combination,brown,black
2180463903,mediumTan,combination,brown,brown
5735172488,lightMedium,oily,brown,brown
5083553904,tan,combination,brown,black
5165376147,medium,combination,brown,brown
1994062966,light,normal,brown,brown
8875882139,lightMedium,combination,hazel,brown
5923348800,medium,combination,hazel,blonde
1516925215,lightMedium,dry,brown,brown
8003439756,light,combination,hazel,blonde
9160314849,light,normal,brown,brown
11591077871,light,dry,blue,blonde
2349238433,light,combination,brown,black
24067633114,mediumTan,combination,brown,brown
6637680664,deep,combination,brown,black
1342582350,mediumTan,combination,brown,brown
27107592960,lightMedium,dry,brown,black
7831132569,fair,oily,hazel,brown
379869182,light,combination,green,brown
25937944574,medium,combination,blue,brown
21874362759,lightMedium,combination,brown,brown
26966429643,light,normal,brown,brown
1049139243,lightMedium,oily,green,brown
8139883256,lightMedium,combination,hazel,brown
1186064889,medium,oily,brown,black
2036751866,fair,oily,brown,brown
1655537713,tan,combination,brown,black
22846704354,mediumTan,oily,brown,black
1865070771,light,combination,brown,brown
22781591286,mediumTan,dry,brown,black
2158435176,tan,dry,brown,black
2112566471,lightMedium,oily,brown,black
2067012250,light,combination,brown,brown
5551812679,fair,dry,brown,brown
23439160438,light,combination,brown,brown
5754011163,mediumTan,combination,brown,brown
5426092909,fair,combination,hazel,brown
2267675488,light,combination,brown,brown
25452917574,lightMedium,dry,brown,blonde
5393354192,light,dry,brown,brown
1026331770,light,combination,hazel,brown
8394922767,mediumTan,combination,brown,black
2036996695,lightMedium,dry,brown,brown
8040563889,lightMedium,oily,brown,black
11526619199,medium,dry,brown,brown
1391664799,light,normal,green,blonde
2190251300,fair,normal,blue,auburn
12709493917,light,oily,blue,brown
23512222006,light,oily,hazel,brown
7920630804,fairLight,dry,blue,blonde
22147021273,lightMedium,normal,brown,brown
8829767905,fair,dry,brown,brown
25086149323,lightMedium,combination,blue,red
23044199959,fair,combination,Grey,auburn
1931727370,lightMedium,combination,brown,brown
5913939383,tan,dry,brown,brown
7991518463,fair,normal,blue,blonde
1930716686,light,dry,brown,brown
21950544973,mediumTan,oily,brown,brown
27531603571,medium,combination,green,black
1140873448,light,oily,hazel,brown
28070885315,lightMedium,oily,brown,black
5601997192,light,oily,blue,blonde
22579273880,lightMedium,dry,brown,brown
5941638546,light,combination,hazel,blonde
2487132283,fair,combination,brown,red
27980515636,mediumTan,normal,brown,brown
8409524626,light,normal,blue,blonde
5442068554,fair,dry,brown,brown
25364860634,light,dry,blue,blonde
10065528049,light,combination,brown,brown
1102097500,light,dry,brown,brown
7161128064,deep,normal,brown,black
1339706197,mediumTan,combination,brown,black
971910811,light,dry,green,blonde
1798922524,fair,combination,hazel,brown
2834412228,lightMedium,oily,brown,gray
1714992682,light,combination,brown,black
24293321968,fairLight,combination,green,brown
2309001207,fair,combination,green,blonde
10301673879,light,combination,brown,black
1978029532,light,combination,green,brown
7878378452,fairLight,combination,hazel,auburn
2377664764,lightMedium,dry,hazel,black
1336311186,fairLight,normal,blue,red
7861905379,medium,dry,brown,black
1348402823,light,combination,brown,brown
23661151184,lightMedium,combination,brown,brown
1741605407,medium,combination,brown,brown
21623426190,lightMedium,dry,brown,auburn
1819440710,light,oily,green,brown
21714712576,medium,combination,green,black
6193840967,fair,combination,green,brown
6279764007,lightMedium,combination,brown,blonde
6417838478,fair,dry,blue,blonde
5887461335,light,oily,hazel,brown
5204803686,light,normal,blue,auburn
1678033069,lightMedium,combination,brown,brown
6544725530,lightMedium,oily,brown,black
538367330,lightMedium,combination,green,blonde
5729513629,lightMedium,dry,green,blonde
23973650886,fair,combination,blue,brown
5778384379,lightMedium,dry,blue,black
5179499340,fair,combination,blue,black
5241034195,light,combination,green,blonde
6409785650,light,combination,blue,brown
6814390983,light,combination,brown,black
1230341329,fair,combination,green,brown
1362330981,light,normal,green,blonde
1305330747,tan,normal,brown,black
10093140070,lightMedium,dry,brown,black
1663895474,mediumTan,combination,green,brown
1960500622,light,normal,blue,blonde
10688219775,lightMedium,dry,brown,brown
5421927328,fairLight,dry,hazel,red
1381053471,light,combination,blue,brown
1103245237,fair,combination,blue,blonde
2118515570,medium,combination,brown,brown
1772255948,lightMedium,dry,hazel,auburn
1560097460,light,dry,blue,blonde
2124926928,lightMedium,dry,brown,brown
6261244350,lightMedium,combination,hazel,blonde
2059253390,mediumTan,combination,brown,black
8987322963,light,combination,brown,black
10774367109,fair,dry,blue,blonde
2153792559,fair,dry,brown,black
1198232881,light,normal,blue,blonde
2509341107,medium,normal,hazel,brown
23625771961,fair,dry,green,red
1489177999,fairLight,dry,brown,auburn
1851552649,light,normal,brown,brown
1739340650,fair,oily,blue,blonde
2519702393,lightMedium,oily,brown,brown
5154244197,fair,dry,green,brown
2419931196,mediumTan,combination,brown,brown
10135703184,tan,oily,brown,black
10252862524,fair,combination,blue,blonde
9330076196,lightMedium,dry,blue,brown
21636958437,light,combination,blue,blonde
5239860425,lightMedium,normal,green,blonde
10127380049,medium,combination,blue,blonde
20853404239,tan,combination,brown,black
1038578499,light,normal,hazel,brown
1159213119,fair,dry,brown,black
10742097121,lightMedium,combination,brown,black
7992226085,fair,combination,brown,brown
1480592532,light,dry,green,blonde
7103412414,light,dry,blue,blonde
908044430,light,combination,blue,blonde
22116750327,light,combination,brown,brown
2819732440,lightMedium,combination,brown,brown
6592668740,medium,combination,brown,black
21751762235,lightMedium,combination,brown,black
1650161308,light,combination,blue,blonde
1144581569,fair,normal,blue,gray
1746121528,fair,dry,blue,blonde
1120449684,light,combination,brown,blonde
6693218062,fairLight,normal,green,brown
6072613302,fair,combination,blue,blonde
1862797555,fair,combination,green,brown
1397597127,tan,normal,brown,black
1233502975,light,combination,brown,brown
22526977081,fair,dry,blue,brown
2569392304,mediumTan,oily,hazel,brown
22606312978,fair,normal,blue,blonde
6001230454,tan,combination,brown,brown
11007471370,deep,combination,brown,brown
5779052679,fairLight,normal,green,red
1797562418,mediumTan,combination,brown,blonde
6682715735,lightMedium,oily,hazel,red
5196533168,light,combination,green,blonde
1096042739,light,combination,green,brown
2047891087,mediumTan,normal,blue,blonde
1553932059,lightMedium,dry,brown,brown
1329586075,light,combination,hazel,brown
6621531529,light,combination,brown,brown
1973322725,light,dry,brown,brown
925435060,lightMedium,combination,brown,blonde
1342226972,lightMedium,dry,green,brown
10011523516,mediumTan,combination,brown,brown
1293189218,fair,combination,green,blonde
832869456,lightMedium,normal,green,blonde
10183491483,light,combination,blue,brown
2069562896,lightMedium,normal,green,blonde
8223121212,light,combination,brown,brown
1389603875,light,combination,brown,brown
1445472492,light,combination,brown,brown
978533665,light,combination,brown,brown
7628008369,light,normal,brown,brown
5242102692,light,combination,brown,brown
5825849599,light,combination,brown,brown
7583450990,light,combination,brown,brown
2346080953,light,dry,brown,brown
1326184550,light,combination,brown,brown
1309911591,light,combination,brown,brown
5311340429,light,combination,brown,brown
1513524410,light,combination,brown,brown
2162441896,light,combination,brown,brown
7478229079,light,combination,brown,brown
1316184286,light,combination,brown,brown
1322196674,light,normal,brown,brown
1046260199,light,combination,brown,brown
5654342844,light,dry,brown,brown
6787577090,light,combination,brown,brown
1796983637,light,oily,brown,brown
7979152575,light,combination,brown,brown
1439433659,light,combination,brown,brown
2117810600,light,combination,brown,brown
5722565385,light,combination,brown,brown
1510772936,light,combination,brown,brown
1533841092,light,combination,brown,brown
5330431487,light,combination,brown,brown
5552990159,light,combination,brown,brown
1580884299,light,combination,brown,brown
6090063970,light,combination,brown,brown
5111216954,light,combination,brown,brown
6727247666,light,normal,brown,brown
1348116413,light,combination,brown,brown
1512540039,light,combination,brown,brown
1877400557,light,combination,brown,brown
5067617329,light,combination,brown,brown
5446973950,light,combination,brown,brown
5465957600,light,dry,brown,brown
1588760479,light,oily,brown,brown
6308562956,light,combination,brown,brown
6050457855,light,combination,brown,brown
1042176908,light,combination,brown,brown
1492361934,light,combination,brown,brown
1448312947,light,combination,brown,brown
1311655762,light,dry,brown,brown
29995824283,lightMedium,combination,brown,black
31787223459,medium,combination,brown,black
1516535550,fair,dry,blue,blonde
5210915926,fair,combination,blue,gray
28920543147,lightMedium,normal,blue,brown
7596104302,lightMedium,normal,brown,black
6497497305,lightMedium,combination,hazel,brown
5932004878,tan,combination,brown,brown
1353419367,lightMedium,normal,brown,brown
7842630238,fair,normal,brown,black
1324337401,light,combination,green,black
1294226738,light,combination,brown,brown
10641330825,lightMedium,combination,green,brown
1345034888,lightMedium,combination,brown,blonde
1066989580,fairLight,dry,blue,blonde
10131596171,mediumTan,combination,brown,black
5063455331,fair,combination,brown,auburn
6164170420,medium,combination,brown,black
6784505887,lightMedium,combination,blue,blonde
337769697,mediumTan,combination,brown,brown
973059907,light,combination,hazel,auburn
1639502754,lightMedium,combination,brown,blonde
5060061956,fairLight,combination,blue,blonde
1478791649,lightMedium,normal,blue,blonde
902163583,light,combination,brown,brown
1820931710,light,dry,brown,brown
5169741598,light,combination,brown,brown
5336964601,light,combination,brown,brown
2830684554,light,combination,brown,brown
5760430341,light,normal,brown,brown
6144200014,light,combination,brown,brown
2117814649,light,dry,brown,brown
5497426242,light,combination,brown,brown
7994877546,light,dry,brown,brown
7191184081,light,combination,brown,brown
5470132033,light,combination,brown,brown
2113427608,light,normal,brown,brown
382468945,light,combination,brown,brown
2289721714,light,combination,brown,brown
1634878186,light,combination,brown,brown
1676986857,light,combination,brown,brown
2281261301,light,combination,brown,brown
2501631850,light,dry,brown,brown
1880815150,light,combination,brown,brown
2342281437,light,combination,brown,brown
1823525029,light,combination,brown,brown
2302702412,light,dry,brown,brown
5936777337,light,combination,brown,brown
6404858620,light,combination,brown,brown
1896601215,light,dry,brown,brown
876370529,light,normal,brown,brown
1335427274,light,combination,brown,brown
1652779524,light,combination,brown,brown
1473912836,light,combination,brown,brown
968924533,light,normal,brown,brown
6825383319,light,combination,brown,brown
2471701658,light,combination,brown,brown
1999221930,light,combination,brown,brown
7613837817,light,combination,brown,brown
6552878197,light,combination,brown,brown
1739331168,light,combination,brown,brown
5547842216,light,normal,brown,brown
1071232598,light,dry,brown,brown
1323472972,light,normal,brown,brown
2841048675,light,combination,brown,brown
1316186161,light,normal,brown,brown
6873662046,light,dry,brown,brown
7292270470,light,dry,brown,brown
9099061265,light,combination,brown,brown
12811223774,light,combination,brown,brown
2525492189,light,combination,brown,brown
7158213021,lightMedium,dry,green,blonde
1324818838,fair,normal,blue,brown
5139901065,lightMedium,oily,brown,black
1308584611,light,combination,green,brown
1301110308,lightMedium,normal,blue,blonde
1985428243,lightMedium,combination,blue,brown
6893333791,lightMedium,combination,brown,blonde
7034077339,light,combination,brown,brown
2367821138,lightMedium,normal,hazel,blonde
1977945975,fair,normal,brown,black
5034792105,lightMedium,combination,brown,black
6088246485,lightMedium,normal,hazel,brown
6458599460,light,combination,blue,brown
10170197389,mediumTan,normal,brown,brown
1688140235,light,combination,hazel,red
2523291647,fairLight,oily,brown,black
5255754823,lightMedium,combination,brown,black
2011384930,lightMedium,oily,brown,brown
801076795,light,combination,hazel,blonde
1508910527,deep,normal,brown,black
2790422293,fairLight,combination,hazel,brown
12984431211,medium,dry,hazel,gray
2589462221,medium,normal,brown,brown
21571980773,fairLight,combination,green,blonde
2106039045,lightMedium,normal,brown,brown
8774695152,light,dry,blue,brown
10632822864,light,dry,brown,brown
20128002882,mediumTan,dry,brown,black
2640296638,deep,combination,brown,black
1823784749,fair,dry,green,blonde
6278965467,fairLight,combination,hazel,brown
1486912424,light,normal,blue,blonde
2749323294,mediumTan,combination,brown,brown
2188131306,fair,combination,hazel,brown
1700816855,medium,normal,brown,brown
10783857043,lightMedium,combination,brown,brown
5341980838,lightMedium,combination,brown,black
11340438290,fair,dry,hazel,blonde
9264386115,fair,combination,green,brown
8676340959,fairLight,dry,brown,brown
1349282602,lightMedium,combination,green,auburn
10188475375,fairLight,oily,blue,blonde
2098574762,fair,dry,Grey,blonde
5244698037,light,dry,green,blonde
2512762492,medium,normal,brown,brown
2602712514,light,dry,brown,blonde
5826279851,light,normal,brown,brown
1538753140,fair,dry,brown,brown
912722781,lightMedium,oily,brown,brown
8454331197,light,combination,brown,brown
1984283701,light,combination,brown,brown
10282441634,lightMedium,normal,blue,black
1641861908,fair,combination,green,blonde
1554553284,fair,normal,blue,blonde
5467363632,light,combination,brown,black
8003472852,light,normal,brown,brown
7373934734,lightMedium,normal,blue,brown
5971989374,light,combination,brown,brown
1838040758,light,dry,brown,brown
2229371110,light,combination,brown,brown
8410905139,light,dry,brown,brown
2132210350,light,combination,brown,brown
1064496134,light,combination,brown,brown
7839415397,light,combination,brown,brown
1597352864,mediumTan,oily,brown,brown
26919290127,light,combination,brown,brown
6464572073,light,combination,green,red
37510892624,lightMedium,oily,brown,black
2149329639,fair,combination,blue,auburn
40825785113,light,oily,green,brown
10542481920,light,combination,brown,brown
27147103304,light,oily,brown,brown
32309837246,tan,dry,brown,black
7272700672,fair,dry,brown,black
5362566896,light,dry,brown,brown
2269586423,light,combination,brown,blonde
11522951769,light,combination,hazel,red
23313262422,fair,combination,brown,blonde
6594088635,lightMedium,normal,brown,brown
6417945130,light,oily,green,brown
2119829119,light,oily,hazel,brown
935783574,lightMedium,combination,brown,brown
10901280558,light,normal,brown,blonde
5339044910,light,normal,blue,brown
5377036401,lightMedium,combination,blue,brown
1318872360,fairLight,oily,blue,brown
989153318,light,combination,Grey,auburn
6899507922,fair,dry,brown,brown
11391442248,fairLight,combination,blue,blonde
9207563894,light,normal,hazel,brown
29820289280,fair,combination,blue,blonde
